timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
0,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.084,0.0,0.084,0.084,0.084,0.0,0.24614,1.0100194492761367,-0.02067576,0.0848416337391955,0.0,0.0,-0.02067576,-0.02067576,0.0848416337391955,0.0848416337391955,0.1648817261060079,0.0,0.0,0.0,0.0,0.014075665000746085
1,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.084,0.0,0.084,0.084,0.084,0.0,0.2427899999999999,1.0086042505143096,-0.020394359999999993,0.08472275704320201,0.0,0.0,-0.020394359999999993,-0.041070119999999995,0.08472275704320201,0.1695643907823975,0.1648817261060079,0.0,0.0,0.0,0.0,0.008685689000230923
2,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,2.012,0.0,2.012,2.012,2.012,0.0,0.2410399999999999,1.0058577644337745,-0.48497247999999976,2.0237858220407543,0.0,0.0,-0.48497247999999976,-0.5260425999999998,2.0237858220407543,2.1933502128231517,0.1648817261060079,0.0,0.0,0.0,0.0,0.008514299000125902
3,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,2.062,0.0,2.062,2.062,2.062,0.0,0.24123,1.0084493370808598,-0.49741625999999994,2.079422533060733,0.0,0.0,-0.49741625999999994,-1.0234588599999999,2.079422533060733,4.272772745883884,0.1648817261060079,0.0,0.0,0.0,0.0,0.008405057999880228
4,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.87,0.0,0.87,0.87,0.87,0.0,0.2365399999999999,1.0069211806071423,-0.2057897999999999,0.8760214271282138,0.0,0.0,-0.2057897999999999,-1.2292486599999997,0.8760214271282138,5.148794173012098,0.1648817261060079,0.0,0.0,0.0,0.0,0.008333280000442755
5,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.091,0.0,0.091,0.091,0.091,0.0,0.23507,1.0086558883254595,-0.02139137,0.09178768583761682,0.0,0.0,-0.02139137,-1.2506400299999996,0.09178768583761682,5.240581858849715,0.1648817261060079,0.0,0.0,0.0,0.0,0.008332002999850374
6,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.083,0.0,0.083,0.083,0.083,0.0,0.23101,1.0118638873431471,-0.01917383,0.08398470264948121,0.0,0.0,-0.01917383,-1.2698138599999995,0.08398470264948121,5.3245665614991955,0.1648817261060079,0.0,0.0,0.0,0.0,0.00825696500032791
7,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.091,0.0,0.091,0.091,0.091,0.0,0.22352,1.014524848298966,-0.02034032,0.0923217611952059,0.0,0.0,-0.02034032,-1.2901541799999996,0.0923217611952059,5.416888322694401,0.1648817261060079,0.0,0.0,0.0,0.0,0.008267909000096552
8,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.093,0.0,0.093,0.093,0.093,0.0,0.23591,1.0172455154739266,-0.02193963,0.09460383293907518,0.0,0.0,-0.02193963,-1.3120938099999997,0.09460383293907518,5.511492155633476,0.1648817261060079,0.0,0.0,0.0,0.0,0.008314910000081
9,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.096,0.0,0.096,0.096,0.096,0.0,0.2391499999999999,1.020054935136801,-0.02295839999999999,0.09792527377313288,0.0,0.0,-0.02295839999999999,-1.3350522099999997,0.09792527377313288,5.6094174294066095,0.1648817261060079,0.0,0.0,0.0,0.0,0.00836196500040387
10,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.095,0.0,0.095,0.095,0.095,0.0,0.24173,1.0237680164947986,-0.02296435,0.09725796156700588,0.0,0.0,-0.02296435,-1.3580165599999998,0.09725796156700588,5.706675390973615,0.1648817261060079,0.0,0.0,0.0,0.0,0.00821677899966744
11,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.095,0.0,0.095,0.095,0.095,0.0,0.2405499999999999,1.0275343493455449,-0.02285224999999999,0.09761576318782676,0.0,0.0,-0.02285224999999999,-1.3808688099999997,0.09761576318782676,5.804291154161442,0.1648817261060079,0.0,0.0,0.0,0.0,0.008185816000150226
