timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
0,-0.9824833273887634,-0.24144681011877722,0.0,-0.12072340505938861,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,1.905,0.0,1.905,1.905,1.905,0.0,0.24614,1.0100194492761367,-0.4688967,1.9240870508710406,0.0,0.0,-0.4688967,-0.4688967,1.9240870508710406,1.9240870508710406,0.12072340505938861,0.0,0.0,0.0,0.0,0.05274979199930385
1,-0.29080721735954285,-0.0714663272481122,0.0,-0.0357331636240561,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,1.1740000000000002,0.0,1.1740000000000002,1.1740000000000002,1.1740000000000002,0.0,0.2427899999999999,1.0086042505143096,-0.2850354599999999,1.1841013901037996,0.0,0.0,-0.2850354599999999,-0.75393216,1.1841013901037996,3.10818844097484,0.0357331636240561,0.0,0.0,0.0,0.0,0.044409379001081106
2,-0.7311044931411743,-0.17967006951823095,0.0,-0.08983503475911547,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.105,0.0,0.105,0.105,0.105,0.0,0.2410399999999999,1.0058577644337745,-0.025309199999999987,0.10561506526554632,0.0,0.0,-0.025309199999999987,-0.77924136,0.10561506526554632,3.213803506240386,0.08983503475911547,0.0,0.0,0.0,0.0,0.04471226799978467
3,-0.9528028964996338,-0.2341527979341862,0.0,-0.1170763989670931,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.075,0.0,0.075,0.075,0.075,0.0,0.24123,1.0084493370808598,-0.01809225,0.07563370028106449,0.0,0.0,-0.01809225,-0.79733361,0.07563370028106449,3.2894372065214506,0.1170763989670931,0.0,0.0,0.0,0.0,0.04435993500010227
4,-0.9940779805183411,-0.24429621420994962,0.0,-0.12214810710497481,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.102,0.0,0.102,0.102,0.102,0.0,0.2365399999999999,1.0069211806071423,-0.024127079999999988,0.1027059604219285,0.0,0.0,-0.024127079999999988,-0.82146069,0.1027059604219285,3.392143166943379,0.12214810710497481,0.0,0.0,0.0,0.0,0.044737453001289396
5,-0.8396248817443848,-0.2063391242804471,0.0,-0.10316956214022355,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.072,0.0,0.072,0.072,0.072,0.0,0.23507,1.0086558883254595,-0.01692504,0.07262322395943308,0.0,0.0,-0.01692504,-0.8383857299999999,0.07262322395943308,3.464766390902812,0.10316956214022355,0.0,0.0,0.0,0.0,0.04432347199872311
6,-0.8058112859725952,-0.19802938037930318,0.0,-0.09901469018965159,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.075,0.0,0.075,0.075,0.075,0.0,0.23101,1.0118638873431471,-0.017325749999999997,0.07588979155073604,0.0,0.0,-0.017325749999999997,-0.85571148,0.07588979155073604,3.540656182453548,0.09901469018965159,0.0,0.0,0.0,0.0,0.044091452000429854
7,-0.9915015697479248,-0.24366305724460346,0.0,-0.12183152862230173,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.092,0.0,0.092,0.092,0.092,0.0,0.22352,1.014524848298966,-0.02056384,0.09333628604350487,0.0,0.0,-0.02056384,-0.87627532,0.09333628604350487,3.633992468497053,0.12183152862230173,0.0,0.0,0.0,0.0,0.0442566750007245
8,-0.9224467277526855,-0.2266927221170647,0.0,-0.11334636105853235,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.067,0.0,0.067,0.067,0.067,0.0,0.23591,1.0172455154739266,-0.015805970000000003,0.0681554495367531,0.0,0.0,-0.015805970000000003,-0.8920812899999999,0.0681554495367531,3.702147918033806,0.11334636105853235,0.0,0.0,0.0,0.0,0.044047766999938176
9,-0.5587267279624939,-0.13730796486204966,0.0,-0.06865398243102483,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.076,0.0,0.076,0.076,0.076,0.0,0.2391499999999999,1.020054935136801,-0.01817539999999999,0.07752417507039687,0.0,0.0,-0.01817539999999999,-0.9102566899999999,0.07752417507039687,3.7796720931042027,0.06865398243102483,0.0,0.0,0.0,0.0,0.04495987900008913
