timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2225148677825928,0.7408382892608643,0.965,0.0,0.965,0.965,0.965,0.0,0.24614,1.0100194492761367,-0.2375251,0.9746687685514719,0.0,0.0,-0.2375251,-0.2375251,0.9746687685514719,0.9746687685514719,0.0,0.0,0.0,0.0,0.0,0.0006716311958904116
1,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2225148677825928,0.7408382892608643,0.927,0.0,0.927,0.927,0.927,0.0,0.2427899999999999,1.0086042505143096,-0.22506632999999993,0.934976140226765,0.0,0.0,-0.22506632999999993,-0.4625914299999999,0.934976140226765,1.9096449087782368,0.0,0.0,0.0,0.0,0.0,0.0006716311958904116
2,0.16197866201400757,0.1199999948632211,0.1199999948632211,0.05999999743161055,0.05999999743161055,0.05999999743161055,0.026996443669001263,2.2225148677825928,0.7408382892608643,1.359,0.0,1.359,1.4189999974316105,1.4189999974316105,0.0,0.2410399999999999,1.0058577644337745,-0.32757335999999987,1.3669607018654995,-0.01446239938091537,-0.06035146328259211,-0.34203575938091524,-0.8046271893809152,1.4273121651480916,3.336957073926328,0.0,0.0,0.0,-0.03740693133175374,-0.36080168147685004,0.0006716311958904116
3,-0.16197866201400757,-0.1199999948632211,-0.1199999948632211,-0.05999999743161055,-0.05999999743161055,0.0,0.0,2.2225148677825928,0.7408382892608643,0.06,0.0,0.06,2.568389445567476e-09,2.568389445567476e-09,0.0,0.24123,1.0084493370808598,-0.0144738,0.06050696022485159,0.014473799380427414,0.06050695763476095,-6.195725859542423e-10,-0.8046271900004878,2.590090633747998e-09,3.336957076516419,0.0,0.0,0.0,0.03749037850759418,0.36160655587541285,0.0006716311958904116
4,1.0,0.7408382892608643,0.7408382892608643,0.37041914463043213,0.37041914463043213,0.37041914463043213,0.16666666666666666,2.2225148677825928,0.7408382892608643,0.059,0.0,0.059,0.4294191446304321,0.4294191446304321,0.0,0.2365399999999999,1.0069211806071423,-0.013955859999999994,0.059408349655821396,-0.08761894447088237,-0.3729828824307625,-0.10157480447088237,-0.9062019944713702,0.4323912320865839,3.7693483086030026,0.0,0.0,0.0,-0.23030091345082243,-2.2213251357556794,0.0006716311958904116
5,0.7181054353713989,0.5320000022494753,0.5320000022494753,0.26600000112473765,0.26600000112473765,0.6364191457551698,0.28635090589523315,2.2225148677825928,0.7408382892608643,0.056,0.0,0.056,0.32200000112473764,0.32200000112473764,0.0,0.23507,1.0086558883254595,-0.01316392,0.05648472974622573,-0.06252862026439208,-0.2683024674290455,-0.07569254026439208,-0.9818945347357623,0.3247871971752712,4.094135505778274,0.0,0.0,0.0,-0.1654155438467188,-1.5954852279379874,0.0006716311958904116
6,1.0,0.7408382892608643,0.7408382892608643,0.37041914463043213,0.37041914463043213,1.006838290385602,0.45301757256189984,2.2225148677825928,0.7408382892608643,0.067,0.0,0.067,0.43741914463043213,0.43741914463043213,0.0,0.23101,1.0118638873431471,-0.01547767,0.06779488045199086,-0.08557052660107613,-0.37481375563207253,-0.10104819660107613,-1.0829427313368385,0.44260863608406337,4.5367441418623375,0.0,0.0,0.0,-0.23019214111657432,-2.2202759921959783,0.0006716311958904116
7,1.0,0.7408382892608643,0.7408382892608643,0.37041914463043213,0.37041914463043213,1.377257435016034,0.6196842392285665,2.2225148677825928,0.7408382892608643,0.065,0.0,0.065,0.43541914463043213,0.43541914463043213,0.0,0.22352,1.014524848298966,-0.0145288,0.06594411513943278,-0.08279608720779419,-0.3757994265132219,-0.09732488720779418,-1.1802676185446326,0.44174354165265467,4.9784876835149925,0.0,0.0,0.0,-0.22929775686050805,-2.2116493732249323,0.0006716311958904116
8,-0.3266569972038269,-0.24200001098357404,-0.24200001098357404,-0.12100000549178702,-0.12100000549178702,1.256257429524247,0.565241406361262,2.2225148677825928,0.7408382892608643,0.121,0.0,0.121,-5.491787025135864e-09,0.0,5.491787025135864e-09,0.23591,1.0172455154739266,-0.02854511,0.12308670737234512,0.02854511027458935,0.12308670737234512,2.745893512567932e-10,-1.1802676182700433,0.0,4.9784876835149925,0.0,0.0,0.0,0.07581590882346723,0.7312684150325376,0.0006716311958904116
9,-0.1700776070356369,-0.12600000343786277,-0.12600000343786277,-0.06300000171893139,-0.06300000171893139,1.1932574278053156,0.5368951385219892,2.2225148677825928,0.7408382892608643,0.063,0.0,0.063,-1.7189313861187827e-09,0.0,1.7189313861187827e-09,0.2391499999999999,1.020054935136801,-0.015066449999999993,0.06426346091361845,0.015066450085946563,0.06426346091361845,8.594656930593914e-11,-1.1802676181840968,0.0,4.9784876835149925,0.0,0.0,0.0,0.03966495549978251,0.3825810386076118,0.0006716311958904116
10,-1.0,-0.7408382892608643,-0.7408382892608643,-0.37041914463043213,-0.37041914463043213,0.8228382831748835,0.37022847185532254,2.2225148677825928,0.7408382892608643,0.478,0.0,0.478,0.10758085536956785,0.10758085536956785,0.0,0.24173,1.0237680164947986,-0.11554694,0.48936111188451376,0.08954141983151437,0.37922327296999747,-0.026005520168485636,-1.2062731383525824,0.11013783891451628,5.088625522429509,0.0,0.0,0.0,0.23438234640075592,2.2606918471843973,0.0006716311958904116
11,-1.0,-0.7408382892608643,-0.7408382892608643,-0.37041914463043213,-0.37041914463043213,0.45241913854445137,0.20356180518865585,2.2225148677825928,0.7408382892608643,1.856,0.0,1.856,1.485580855369568,1.485580855369568,0.0,0.2405499999999999,1.0275343493455449,-0.4464607999999998,1.9071037523853314,0.08910432524085038,0.3806183947629642,-0.35735647475914945,-1.5636296131117318,1.5264853576223671,6.615110880051876,0.0,0.0,0.0,0.2348613600019073,2.2653120848407,0.0006716311958904116
12,-1.0,-0.7408382892608643,-0.7408382892608643,-0.37041914463043213,-0.37041914463043213,0.08199999391401924,0.03689513852198919,2.2225148677825928,0.7408382892608643,1.841,0.0,1.841,1.4705808553695678,1.4705808553695678,0.0,0.2397599999999999,1.0269066272037537,-0.4413981599999998,1.8905351006821105,0.0888116941165924,0.3803858744641364,-0.3525864658834074,-1.9162160789951392,1.510149226217974,8.12526010626985,0.0,0.0,0.0,0.2345987842903644,2.2627794590714423,0.0006716311958904116
13,-0.2213708460330963,-0.16399999886738925,-0.16399998782803848,-0.08199999943369463,-0.08199999391401924,0.0,0.0,2.2225148677825928,0.7408382892608643,0.082,0.0,0.082,6.0859807610169625e-09,6.0859807610169625e-09,0.0,0.24155,1.026269222972372,-0.0198071,0.0841540762837345,0.019807098529931347,0.08415407003787975,-1.4700686528236473e-09,-1.916216080465208,6.245854746633684e-09,8.125260112515706,5.519675383425238e-09,0.0,0.0,0.05198058428390555,0.5013691726661872,0.0006716311958904116
14,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2225148677825928,0.7408382892608643,0.057,0.0,0.057,0.057,0.057,0.0,0.2415999999999999,0.9829095984224372,-0.013771199999999994,0.05602584711007892,0.0,0.0,-0.013771199999999994,-1.929987280465208,0.05602584711007892,8.181285959625784,0.0,0.0,0.0,0.0,0.0,0.0006716311958904116
15,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2225148677825928,0.7408382892608643,0.072,0.0,0.072,0.072,0.072,0.0,0.24414,0.8853690005234656,-0.01757808,0.06374656803768952,0.0,0.0,-0.01757808,-1.9475653604652081,0.06374656803768952,8.245032527663474,0.0,0.0,0.0,0.0,0.0,0.0006716311958904116
16,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2225148677825928,0.7408382892608643,0.057,0.013,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.0,0.2443,0.764925419697913,-0.0107492,0.033656718466708174,0.0,0.0,-0.0107492,-1.9583145604652081,0.033656718466708174,8.278689246130183,0.0,0.0,0.0,0.0,0.0,0.0006716311958904116
17,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2225148677825928,0.7408382892608643,0.042,0.031,0.011000000000000003,0.011000000000000003,0.011000000000000003,0.0,0.2478699999999999,0.6733344658523692,-0.0027265699999999993,0.0074066791243760635,0.0,0.0,-0.0027265699999999993,-1.9610411304652082,0.0074066791243760635,8.286095925254559,0.0,0.0,0.0,0.0,0.0,0.0006716311958904116
18,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2225148677825928,0.7408382892608643,0.058,0.05,0.008,0.008,0.008,0.0,0.2495899999999999,0.6071251098686018,-0.001996719999999999,0.004857000878948814,0.0,0.0,-0.001996719999999999,-1.9630378504652082,0.004857000878948814,8.290952926133508,0.0,0.0,0.0,0.0,0.0,0.0006716311958904116
19,0.08908826857805252,0.06600000048657684,0.06600000048657684,0.03300000024328842,0.03300000024328842,0.03300000024328842,0.014848044763008753,2.2225148677825928,0.7408382892608643,0.067,0.1,-0.033,2.432884171899019e-10,2.432884171899019e-10,0.0,0.2495,0.5511416541741138,0.0016500000000000002,0.0,-0.0016500000607004603,-1.3408638069144444e-10,-6.070046008888052e-11,-1.9630378505259087,1.3408638069144444e-10,8.290952926267595,0.0,0.0,0.0,-0.0008250000973934205,-0.007957386820057982,0.0006716311958904116
