time,treated_actual,period,evaluation_split,synthetic_scm,gap_scm,synthetic_nn_scm,gap_nn_scm
2010-07-01 00:30:00,4.752999782562256,pre,training,4.736467914551039,0.0165318680112172,4.36917781829834,0.383821964263916
2010-07-01 01:00:00,4.914999961853027,pre,training,4.3432564816552786,0.5717434801977488,4.323540687561035,0.5914592742919922
2010-07-01 01:30:00,-1.8609999418258667,pre,training,-1.788513752378477,-0.0724861894473896,-1.7776557207107544,-0.0833442211151123
2010-07-01 02:00:00,-2.3350000381469727,pre,training,-2.1520982166717704,-0.1829018214752023,-2.0356032848358154,-0.2993967533111572
2010-07-01 02:30:00,0.3799999952316284,pre,training,1.0321106295326155,-0.652110634300987,1.1780128479003906,-0.7980128526687622
2010-07-01 03:00:00,1.3289999961853027,pre,training,1.033351350251853,0.29564864593344975,1.212268590927124,0.11673140525817871
2010-07-01 03:30:00,3.3910000324249268,pre,training,3.927467911309584,-0.5364678788846571,4.035843849182129,-0.6448438167572021
2010-07-01 04:00:00,3.2980000972747803,pre,training,4.010288885638957,-0.7122887883641766,4.11842155456543,-0.8204214572906494
2010-07-01 04:30:00,3.303999900817871,pre,training,3.8147453017741935,-0.5107454009563224,4.059709548950195,-0.7557096481323242
2010-07-01 05:00:00,1.3380000591278076,pre,training,0.6474626791422919,0.6905373799855157,0.9461026787757874,0.39189738035202026
2010-07-01 05:30:00,-2.953000068664551,pre,training,-2.5860172858647887,-0.36698278279976204,-2.2903382778167725,-0.6626617908477783
2010-07-01 06:00:00,3.318000078201294,pre,training,3.6048506630909554,-0.2868505848896614,3.6962289810180664,-0.37822890281677246
2010-07-01 06:30:00,0.1080000028014183,pre,training,0.2264507001493758,-0.11845069734795749,0.44823187589645386,-0.34023187309503555
2010-07-01 07:00:00,-2.8380000591278076,pre,training,-3.0479943436426455,0.20999428451483793,-2.653313159942627,-0.18468689918518066
2010-07-01 07:30:00,3.990999937057495,pre,training,3.603670635633258,0.38732930142423694,3.3958733081817627,0.5951266288757324
2010-07-01 08:00:00,-2.38700008392334,pre,training,-2.645560111005784,0.25856002708244397,-2.6133317947387695,0.2263317108154297
2010-07-01 08:30:00,-2.9760000705718994,pre,training,-2.4217121560447783,-0.5542879145271211,-1.9336249828338623,-1.042375087738037
2010-07-01 09:00:00,-2.927999973297119,pre,training,-2.7614072361873623,-0.16659273710975686,-2.581033945083618,-0.346966028213501
2010-07-01 09:30:00,3.257999897003174,pre,training,2.9332053527585757,0.3247945442445981,2.9066479206085205,0.3513519763946533
2010-07-01 10:00:00,-3.447999954223633,pre,training,-3.590465082963449,0.1424651287398162,-3.104640245437622,-0.34335970878601074
2010-07-01 10:30:00,-0.0989999994635582,pre,training,-0.5370798443035101,0.4380798448399519,-0.5063594579696655,0.40735945850610733
2010-07-01 11:00:00,0.2070000022649765,pre,training,-0.29567926565732683,0.5026792679223033,-0.5213729739189148,0.7283729761838913
2010-07-01 11:30:00,0.6790000200271606,pre,training,-0.34804885969931953,1.0270488797264803,-0.6679540872573853,1.346954107284546
2010-07-01 12:00:00,0.8619999885559082,pre,training,-0.6545212281145918,1.5165212166705,-0.7546719908714294,1.6166719794273376
2010-07-01 12:30:00,4.039000034332275,pre,training,2.661248320553976,1.3777517137782995,2.5903728008270264,1.448627233505249
2010-07-01 13:00:00,-2.8529999256134033,pre,training,-3.7695151188693625,0.9165151932559592,-3.4448187351226807,0.5918188095092773
2010-07-01 13:30:00,3.2260000705718994,pre,training,2.658837562557722,0.5671625080141776,2.6843390464782715,0.5416610240936279
2010-07-01 14:00:00,2.492000102996826,pre,training,2.746289435843384,-0.25428933284655786,2.8366024494171143,-0.3446023464202881
2010-07-01 14:30:00,3.236999988555908,pre,training,2.9806617316603945,0.2563382568955137,2.9720232486724854,0.26497673988342285
2010-07-01 15:00:00,-2.0139999389648438,pre,training,-3.151451575863256,1.1374516368984122,-3.035626173019409,1.0216262340545654
2010-07-01 15:30:00,-1.503999948501587,pre,training,-2.9561866019129064,1.4521866534113195,-2.7849972248077393,1.2809972763061523
2010-07-01 16:00:00,1.8320000171661377,pre,training,0.41881076581816656,1.4131892513479711,0.6348322629928589,1.1971677541732788
2010-07-01 16:30:00,5.130000114440918,pre,training,3.501918747385981,1.628081367054937,3.3605597019195557,1.7694404125213623
2010-07-01 17:00:00,4.788000106811523,pre,training,3.6097810377230743,1.178219069088449,3.4594359397888184,1.328564167022705
2010-07-01 17:30:00,1.746000051498413,pre,training,0.4546136453076241,1.291386406190789,0.15809758007526398,1.587902471423149
2010-07-01 18:00:00,-2.2899999618530273,pre,training,-2.6879713094343534,0.397971347581326,-2.7178468704223633,0.42784690856933594
2010-07-01 18:30:00,-2.986999988555908,pre,training,-2.500068315251834,-0.48693167330407405,-2.5821738243103027,-0.40482616424560547
2010-07-01 19:00:00,-2.618000030517578,pre,training,-2.2907741700552013,-0.3272258604623768,-2.3960049152374268,-0.22199511528015137
2010-07-01 19:30:00,0.39500001072883606,pre,training,0.9593846563009487,-0.5643846455721127,0.5108353495597839,-0.11583533883094788
2010-07-01 20:00:00,0.5400000214576721,pre,training,1.0791127414120574,-0.5391127199543853,1.0152753591537476,-0.47527533769607544
2010-07-01 20:30:00,0.4059999883174896,pre,training,0.8653789963459053,-0.4593790080284157,0.8923908472061157,-0.4863908588886261
2010-07-01 21:00:00,3.743000030517578,pre,training,4.071502906405727,-0.32850287588814897,3.7567272186279297,-0.013727188110351562
2010-07-01 21:30:00,3.694999933242798,pre,training,3.9872577945010708,-0.2922578612582729,3.678222179412842,0.016777753829956055
2010-07-01 22:00:00,3.4159998893737793,pre,training,3.9819537327729106,-0.5659538433991314,3.5603418350219727,-0.14434194564819336
2010-07-01 22:30:00,-2.822000026702881,pre,training,-2.459486622251298,-0.36251340445158275,-2.689612627029419,-0.13238739967346191
2010-07-01 23:00:00,-3.072000026702881,pre,training,-2.3731365563356377,-0.6988634703672432,-2.4033620357513428,-0.6686379909515381
2010-07-01 23:30:00,-3.121999979019165,pre,training,-2.3928364045700765,-0.7291635744490885,-2.4565718173980713,-0.6654281616210938
2010-07-02 00:00:00,4.400000095367432,pre,training,4.31195018218934,0.08804991317809208,4.328789710998535,0.07121038436889648
2010-07-02 00:30:00,4.553999900817871,pre,training,4.701384440671564,-0.14738453985369304,4.399216651916504,0.1547832489013672
