model,lambda,sum_to_one_constraint,positive_weights_constraint,feature_name,feature_type,donor_name,weight,abs_weight,abs_weight_share,abs_weight_rank
SCM,0.01,True,False,netconsumption_24,current_donor,netconsumption_24,0.2481160470238506,0.2481160470238506,0.0776560100482693,1
SCM,0.01,True,False,netconsumption_81,current_donor,netconsumption_81,0.1904969917670325,0.1904969917670325,0.059622247268044395,2
SCM,0.01,True,False,netconsumption_239,current_donor,netconsumption_239,0.17510554614786777,0.17510554614786777,0.054804992318208956,3
SCM,0.01,True,False,netconsumption_138,current_donor,netconsumption_138,0.16656828875077168,0.16656828875077168,0.05213297914467235,4
SCM,0.01,True,False,netconsumption_298,current_donor,netconsumption_298,-0.12733510923099312,0.12733510923099312,0.03985367589299429,5
SCM,0.01,True,False,netconsumption_53,current_donor,netconsumption_53,0.12126692394265931,0.12126692394265931,0.03795443937291418,6
SCM,0.01,True,False,netconsumption_204,current_donor,netconsumption_204,0.11938783169832856,0.11938783169832856,0.03736631616219195,7
SCM,0.01,True,False,netconsumption_222,current_donor,netconsumption_222,-0.11742343644030939,0.11742343644030939,0.036751494590893725,8
SCM,0.01,True,False,netconsumption_288,current_donor,netconsumption_288,0.10093024502730574,0.10093024502730574,0.03158941235776383,9
SCM,0.01,True,False,netconsumption_125,current_donor,netconsumption_125,0.09837528338477641,0.09837528338477641,0.03078975377314142,10
SCM,0.01,True,False,netconsumption_206,current_donor,netconsumption_206,0.09705083344860188,0.09705083344860188,0.03037522396426488,11
SCM,0.01,True,False,netconsumption_181,current_donor,netconsumption_181,-0.09258212185584822,0.09258212185584822,0.028976594909384208,12
SCM,0.01,True,False,netconsumption_158,current_donor,netconsumption_158,0.0898216637851795,0.0898216637851795,0.028112619514624394,13
SCM,0.01,True,False,netconsumption_36,current_donor,netconsumption_36,0.08474624379453216,0.08474624379453216,0.026524101276805583,14
SCM,0.01,True,False,netconsumption_196,current_donor,netconsumption_196,-0.08093836788971764,0.08093836788971764,0.025332302305824825,15
SCM,0.01,True,False,netconsumption_257,current_donor,netconsumption_257,-0.07244013348774048,0.07244013348774048,0.02267250265147579,16
SCM,0.01,True,False,netconsumption_166,current_donor,netconsumption_166,-0.07221129154939826,0.07221129154939826,0.022600879102428757,17
SCM,0.01,True,False,netconsumption_247,current_donor,netconsumption_247,0.07192267929273854,0.07192267929273854,0.022510548482656042,18
SCM,0.01,True,False,netconsumption_216,current_donor,netconsumption_216,-0.07103416594372702,0.07103416594372702,0.02223245924825748,19
SCM,0.01,True,False,netconsumption_111,current_donor,netconsumption_111,0.06622311704263306,0.06622311704263306,0.020726684566258962,20
SCM,0.01,True,False,netconsumption_256,current_donor,netconsumption_256,0.06619888563415212,0.06619888563415212,0.02071910055658667,21
SCM,0.01,True,False,netconsumption_277,current_donor,netconsumption_277,-0.06512189192717822,0.06512189192717822,0.020382020246248467,22
SCM,0.01,True,False,netconsumption_26,current_donor,netconsumption_26,0.05985849800378762,0.05985849800378762,0.01873466943478108,23
SCM,0.01,True,False,netconsumption_65,current_donor,netconsumption_65,0.05702558091346299,0.05702558091346299,0.01784801562632743,24
SCM,0.01,True,False,netconsumption_113,current_donor,netconsumption_113,0.052945907387568214,0.052945907387568214,0.016571148724243947,25
SCM,0.01,True,False,netconsumption_49,current_donor,netconsumption_49,-0.051267841279729276,0.051267841279729276,0.016045943200074547,26
SCM,0.01,True,False,netconsumption_234,current_donor,netconsumption_234,-0.049072385817274494,0.049072385817274494,0.015358803800999214,27
SCM,0.01,True,False,netconsumption_128,current_donor,netconsumption_128,-0.048651733798690255,0.048651733798690255,0.01522714703081513,28
SCM,0.01,True,False,netconsumption_210,current_donor,netconsumption_210,0.043561358960773,0.043561358960773,0.01363394818574099,29
SCM,0.01,True,False,netconsumption_255,current_donor,netconsumption_255,0.04308439990682067,0.04308439990682067,0.013484668292196762,30
SCM,0.01,True,False,netconsumption_191,current_donor,netconsumption_191,0.03870989827096921,0.03870989827096921,0.012115525316300502,31
SCM,0.01,True,False,netconsumption_153,current_donor,netconsumption_153,0.032301180854516054,0.032301180854516054,0.010109708159134666,32
SCM,0.01,True,False,netconsumption_229,current_donor,netconsumption_229,-0.031898110804537416,0.031898110804537416,0.009983554239520234,33
SCM,0.01,True,False,netconsumption_51,current_donor,netconsumption_51,-0.031833947118967254,0.031833947118967254,0.009963472121208508,34
SCM,0.01,True,False,netconsumption_194,current_donor,netconsumption_194,0.028132990351733667,0.028132990351733667,0.00880513698185787,35
SCM,0.01,True,False,netconsumption_227,current_donor,netconsumption_227,-0.027486473489952812,0.027486473489952812,0.008602788441660453,36
SCM,0.01,True,False,netconsumption_27,current_donor,netconsumption_27,-0.027338295558789718,0.027338295558789718,0.008556411324785676,37
SCM,0.01,True,False,netconsumption_137,current_donor,netconsumption_137,-0.0268610310209052,0.0268610310209052,0.008407035820080493,38
SCM,0.01,True,False,netconsumption_21,current_donor,netconsumption_21,-0.02556689499429346,0.02556689499429346,0.008001993737990864,39
SCM,0.01,True,False,netconsumption_105,current_donor,netconsumption_105,-0.0207861956670633,0.0207861956670633,0.006505717945085568,40
SCM,0.01,True,False,netconsumption_133,current_donor,netconsumption_133,-0.02078384798332822,0.02078384798332822,0.006504983160883142,41
SCM,0.01,True,False,netconsumption_179,current_donor,netconsumption_179,0.01765603896508311,0.01765603896508311,0.0055260333047032996,42
SCM,0.01,True,False,netconsumption_102,current_donor,netconsumption_102,-0.01373022462732136,0.01373022462732136,0.0042973216541764775,43
SCM,0.01,True,False,netconsumption_20,current_donor,netconsumption_20,-0.011846009602095614,0.011846009602095614,0.003707595102076583,44
SCM,0.01,True,False,netconsumption_202,current_donor,netconsumption_202,-0.009930249486638898,0.009930249486638898,0.0031079954850406102,45
SCM,0.01,True,False,netconsumption_254,current_donor,netconsumption_254,0.009354740842666354,0.009354740842666354,0.002927871282776088,46
SCM,0.01,True,False,netconsumption_123,current_donor,netconsumption_123,0.007575975025123416,0.007575975025123416,0.002371148499798032,47
SCM,0.01,True,False,netconsumption_220,current_donor,netconsumption_220,0.005787523137951195,0.005787523137951195,0.0018113941453860348,48
