model,lambda,sum_to_one_constraint,positive_weights_constraint,feature_name,feature_type,donor_name,weight,abs_weight,abs_weight_share,abs_weight_rank
SCM,0.01,True,False,netconsumption_157,current_donor,netconsumption_157,0.1015448543444819,0.1015448543444819,0.021923991019324914,1
SCM,0.01,True,False,netconsumption_75,current_donor,netconsumption_75,0.10003414488899409,0.10003414488899409,0.021597822049476727,2
SCM,0.01,True,False,netconsumption_81,current_donor,netconsumption_81,0.08374446487534648,0.08374446487534648,0.018080806828643,3
SCM,0.01,True,False,netconsumption_282,current_donor,netconsumption_282,0.07170834834212059,0.07170834834212059,0.015482155104875646,4
SCM,0.01,True,False,netconsumption_141,current_donor,netconsumption_141,0.05713941517807086,0.05713941517807086,0.01233665687247675,5
SCM,0.01,True,False,netconsumption_125,current_donor,netconsumption_125,0.05350763153408522,0.05350763153408522,0.011552538440195015,6
SCM,0.01,True,False,netconsumption_68,current_donor,netconsumption_68,0.05298187918768882,0.05298187918768882,0.011439026142647364,7
SCM,0.01,True,False,netconsumption_239,current_donor,netconsumption_239,0.0478091380443777,0.0478091380443777,0.01032220805173237,8
SCM,0.01,True,False,netconsumption_269,current_donor,netconsumption_269,0.047094624087301584,0.047094624087301584,0.010167941272984754,9
SCM,0.01,True,False,netconsumption_43,current_donor,netconsumption_43,0.046050599564198436,0.046050599564198436,0.00994253168018728,10
SCM,0.01,True,False,netconsumption_204,current_donor,netconsumption_204,0.04075869347797223,0.04075869347797223,0.008799985341837652,11
SCM,0.01,True,False,netconsumption_95,current_donor,netconsumption_95,0.03937150712062998,0.03937150712062998,0.008500485564750677,12
SCM,0.01,True,False,netconsumption_241,current_donor,netconsumption_241,0.03911956014588025,0.03911956014588025,0.008446089079104832,13
SCM,0.01,True,False,netconsumption_170,current_donor,netconsumption_170,-0.03799344663123172,0.03799344663123172,0.008202956103620521,14
SCM,0.01,True,False,netconsumption_244,current_donor,netconsumption_244,0.03674751372816054,0.03674751372816054,0.007933953582971396,15
SCM,0.01,True,False,netconsumption_205,current_donor,netconsumption_205,0.036716171723182534,0.036716171723182534,0.007927186703053144,16
SCM,0.01,True,False,netconsumption_153,current_donor,netconsumption_153,-0.03632296498086163,0.03632296498086163,0.007842291597899547,17
SCM,0.01,True,False,netconsumption_258,current_donor,netconsumption_258,0.03594825280832481,0.03594825280832481,0.007761389553590539,18
SCM,0.01,True,False,netconsumption_228,current_donor,netconsumption_228,-0.03542532496344286,0.03542532496344286,0.0076484870786305195,19
SCM,0.01,True,False,netconsumption_193,current_donor,netconsumption_193,0.034984290927775774,0.034984290927775774,0.007553265845613828,20
SCM,0.01,True,False,netconsumption_251,current_donor,netconsumption_251,0.034700643119750296,0.034700643119750296,0.00749202500740547,21
SCM,0.01,True,False,netconsumption_76,current_donor,netconsumption_76,-0.03468132757388087,0.03468132757388087,0.007487854694129545,22
SCM,0.01,True,False,netconsumption_67,current_donor,netconsumption_67,0.034142375352097076,0.034142375352097076,0.007371492484084431,23
SCM,0.01,True,False,netconsumption_145,current_donor,netconsumption_145,0.03387584258473142,0.03387584258473142,0.0073139468601746555,24
SCM,0.01,True,False,netconsumption_291,current_donor,netconsumption_291,0.0330260930690649,0.0330260930690649,0.0071304821157480375,25
SCM,0.01,True,False,netconsumption_178,current_donor,netconsumption_178,-0.0328096509503073,0.0328096509503073,0.0070837512882878165,26
SCM,0.01,True,False,netconsumption_109,current_donor,netconsumption_109,0.03275307839389896,0.03275307839389896,0.00707153701877467,27
SCM,0.01,True,False,netconsumption_115,current_donor,netconsumption_115,0.03259150855099158,0.03259150855099158,0.007036653362603592,28
SCM,0.01,True,False,netconsumption_155,current_donor,netconsumption_155,0.032484027022782413,0.032484027022782413,0.007013447616981001,29
SCM,0.01,True,False,netconsumption_230,current_donor,netconsumption_230,-0.03243155778986884,0.03243155778986884,0.007002119273475916,30
SCM,0.01,True,False,netconsumption_80,current_donor,netconsumption_80,-0.030996323648138646,0.030996323648138646,0.006692245763517692,31
SCM,0.01,True,False,netconsumption_233,current_donor,netconsumption_233,-0.030127004737568797,0.030127004737568797,0.006504555898666373,32
SCM,0.01,True,False,netconsumption_64,current_donor,netconsumption_64,0.029893060004495986,0.029893060004495986,0.006454046178011233,33
SCM,0.01,True,False,netconsumption_203,current_donor,netconsumption_203,-0.029760708849652318,0.029760708849652318,0.006425470968081381,34
SCM,0.01,True,False,netconsumption_16,current_donor,netconsumption_16,0.0296775281894881,0.0296775281894881,0.0064075118892270725,35
SCM,0.01,True,False,netconsumption_140,current_donor,netconsumption_140,0.029620572030149006,0.029620572030149006,0.006395214798114908,36
SCM,0.01,True,False,netconsumption_174,current_donor,netconsumption_174,0.029616525324237752,0.029616525324237752,0.006394341096097913,37
SCM,0.01,True,False,netconsumption_163,current_donor,netconsumption_163,-0.029585558809228196,0.029585558809228196,0.0063876552861536085,38
SCM,0.01,True,False,netconsumption_91,current_donor,netconsumption_91,-0.02954980138187535,0.02954980138187535,0.006379935096674598,39
SCM,0.01,True,False,netconsumption_83,current_donor,netconsumption_83,0.029418500030445216,0.029418500030445216,0.006351586544025993,40
SCM,0.01,True,False,netconsumption_175,current_donor,netconsumption_175,0.029215327736457297,0.029215327736457297,0.006307720731449653,41
SCM,0.01,True,False,netconsumption_42,current_donor,netconsumption_42,0.0290387510861585,0.0290387510861585,0.00626959703802999,42
SCM,0.01,True,False,netconsumption_274,current_donor,netconsumption_274,0.028800082605518362,0.028800082605518362,0.006218067439017525,43
SCM,0.01,True,False,netconsumption_15,current_donor,netconsumption_15,-0.028745043983041008,0.028745043983041008,0.006206184352743001,44
SCM,0.01,True,False,netconsumption_255,current_donor,netconsumption_255,0.02865833826847508,0.02865833826847508,0.006187464198780115,45
SCM,0.01,True,False,netconsumption_48,current_donor,netconsumption_48,0.028531456097179664,0.028531456097179664,0.006160069767009537,46
SCM,0.01,True,False,netconsumption_126,current_donor,netconsumption_126,0.027452814187237884,0.027452814187237884,0.005927186124610417,47
SCM,0.01,True,False,netconsumption_201,current_donor,netconsumption_201,-0.02736531956580235,0.02736531956580235,0.005908295642104189,48
SCM,0.01,True,False,netconsumption_36,current_donor,netconsumption_36,0.026323173866037664,0.026323173866037664,0.005683291695720463,49
SCM,0.01,True,False,netconsumption_108,current_donor,netconsumption_108,-0.025504848882903608,0.025504848882903608,0.00550661164928249,50
SCM,0.01,True,False,netconsumption_148,current_donor,netconsumption_148,-0.02525379879531542,0.02525379879531542,0.005452408805610941,51
SCM,0.01,True,False,netconsumption_243,current_donor,netconsumption_243,0.02525155420338654,0.02525155420338654,0.005451924188112512,52
SCM,0.01,True,False,netconsumption_197,current_donor,netconsumption_197,0.025145730769203567,0.025145730769203567,0.005429076432451836,53
SCM,0.01,True,False,netconsumption_25,current_donor,netconsumption_25,-0.02503214331942072,0.02503214331942072,0.005404552390883968,54
SCM,0.01,True,False,netconsumption_276,current_donor,netconsumption_276,-0.025005311264469476,0.025005311264469476,0.005398759229471915,55
SCM,0.01,True,False,netconsumption_21,current_donor,netconsumption_21,-0.024775087024432207,0.024775087024432207,0.005349052780005898,56
SCM,0.01,True,False,netconsumption_259,current_donor,netconsumption_259,-0.024664554719711518,0.024664554719711518,0.005325188358005539,57
SCM,0.01,True,False,netconsumption_54,current_donor,netconsumption_54,0.024605209577932996,0.024605209577932996,0.005312375474833941,58
