model,lambda,sum_to_one_constraint,positive_weights_constraint,feature_name,feature_type,donor_name,weight,abs_weight,abs_weight_share,abs_weight_rank
SCM,0.01,True,False,netconsumption_233,current_donor,netconsumption_233,2.4777382847299707,2.4777382847299707,0.39774896866433934,1
SCM,0.01,True,False,netconsumption_28,current_donor,netconsumption_28,0.6520020949807153,0.6520020949807153,0.10466527576532596,2
SCM,0.01,True,False,treated__treated_lag_3,treated_lag,,-0.08967186356928714,0.08967186356928714,0.014394938913728072,3
SCM,0.01,True,False,treated__treated_lag_48,treated_lag,,0.07032122020413106,0.07032122020413106,0.011288598551262763,4
SCM,0.01,True,False,treated__treated_lag_2,treated_lag,,-0.06675660029143538,0.06675660029143538,0.010716373509298901,5
SCM,0.01,True,False,treated__treated_lag_4,treated_lag,,-0.06503831511135391,0.06503831511135391,0.010440538824715535,6
SCM,0.01,True,False,treated__treated_lag_1,treated_lag,,-0.06196321691285779,0.06196321691285779,0.009946896237630638,7
SCM,0.01,True,False,treated__treated_lag_5,treated_lag,,-0.05777281513999427,0.05777281513999427,0.009274215029240895,8
SCM,0.01,True,False,treated__treated_lag_6,treated_lag,,-0.048692025534639506,0.048692025534639506,0.00781648451651996,9
SCM,0.01,True,False,treated__treated_lag_7,treated_lag,,-0.04713796348497702,0.04713796348497702,0.007567012414763657,10
SCM,0.01,True,False,treated__treated_lag_336,treated_lag,,0.0445058957579042,0.0445058957579042,0.007144489087602814,11
SCM,0.01,True,False,treated__treated_lag_288,treated_lag,,0.03982589557280147,0.03982589557280147,0.006393213112070801,12
SCM,0.01,True,False,treated__treated_lag_8,treated_lag,,-0.03896315142542198,0.03896315142542198,0.0062547176152073026,13
SCM,0.01,True,False,treated__treated_lag_96,treated_lag,,0.035837444314712405,0.035837444314712405,0.005752950827611729,14
SCM,0.01,True,False,treated__treated_lag_9,treated_lag,,-0.03060301208198416,0.03060301208198416,0.004912672403154186,15
SCM,0.01,True,False,treated__treated_lag_49,treated_lag,,0.029878800087681866,0.029878800087681866,0.004796415340976421,16
SCM,0.01,True,False,treated__treated_lag_10,treated_lag,,-0.027487626834084705,0.027487626834084705,0.004412562574371705,17
SCM,0.01,True,False,treated__treated_lag_192,treated_lag,,0.026997276081265065,0.026997276081265065,0.004333847034712095,18
SCM,0.01,True,False,treated__treated_lag_144,treated_lag,,0.02690560711908342,0.02690560711908342,0.004319131503458861,19
SCM,0.01,True,False,treated__treated_lag_240,treated_lag,,0.02540708085529631,0.02540708085529631,0.004078574508553038,20
SCM,0.01,True,False,treated__treated_lag_30,treated_lag,,-0.023660611970710316,0.023660611970710316,0.0037982155207093547,21
SCM,0.01,True,False,treated__treated_lag_50,treated_lag,,0.022789870012515517,0.022789870012515517,0.0036584361428875795,22
SCM,0.01,True,False,treated__treated_lag_11,treated_lag,,-0.021725985070633006,0.021725985070633006,0.0034876517057179346,23
SCM,0.01,True,False,treated__treated_lag_129,treated_lag,,-0.020731482333145035,0.020731482333145035,0.0033280051277853454,24
SCM,0.01,True,False,treated__treated_lag_330,treated_lag,,-0.02033813566374533,0.02033813566374533,0.0032648615613136605,25
SCM,0.01,True,False,treated__treated_lag_47,treated_lag,,0.019959492627182343,0.019959492627182343,0.0032040783550270954,26
SCM,0.01,True,False,treated__treated_lag_31,treated_lag,,-0.01932764725442312,0.01932764725442312,0.0031026488186958585,27
SCM,0.01,True,False,treated__treated_lag_78,treated_lag,,-0.018997907359531448,0.018997907359531448,0.003049715987198304,28
SCM,0.01,True,False,treated__treated_lag_33,treated_lag,,-0.0188235655399771,0.0188235655399771,0.0030217290608347868,29
SCM,0.01,True,False,treated__treated_lag_12,treated_lag,,-0.01866940739363515,0.01866940739363515,0.0029969822003222775,30
SCM,0.01,True,False,treated__treated_lag_331,treated_lag,,-0.01820721206847349,0.01820721206847349,0.0029227864246677213,31
SCM,0.01,True,False,treated__treated_lag_332,treated_lag,,-0.018141281018746264,0.018141281018746264,0.002912202576004778,32
SCM,0.01,True,False,treated__treated_lag_328,treated_lag,,-0.018001643083376095,0.018001643083376095,0.002889786631139982,33
SCM,0.01,True,False,treated__treated_lag_80,treated_lag,,-0.017888237802643727,0.017888237802643727,0.0028715817893573054,34
SCM,0.01,True,False,treated__treated_lag_51,treated_lag,,0.01788494507556924,0.01788494507556924,0.0028710532110138858,35
SCM,0.01,True,False,treated__treated_lag_126,treated_lag,,-0.017695109019129896,0.017695109019129896,0.002840579009549834,36
SCM,0.01,True,False,treated__treated_lag_128,treated_lag,,-0.017527661000993493,0.017527661000993493,0.0028136987385667753,37
SCM,0.01,True,False,treated__treated_lag_176,treated_lag,,-0.017426979149027782,0.017426979149027782,0.0027975363766945074,38
SCM,0.01,True,False,treated__treated_lag_329,treated_lag,,-0.01731992817289546,0.01731992817289546,0.0027803515853815773,39
SCM,0.01,True,False,treated__treated_lag_333,treated_lag,,-0.01730904701958974,0.01730904701958974,0.00277860484419753,40
