model,lambda,sum_to_one_constraint,positive_weights_constraint,feature_name,feature_type,donor_name,weight,abs_weight,abs_weight_share,abs_weight_rank
SCM,0.01,True,False,netconsumption_157,current_donor,netconsumption_157,0.16177451173624047,0.16177451173624047,0.04616563574069977,1
SCM,0.01,True,False,netconsumption_193,current_donor,netconsumption_193,0.11311288472737557,0.11311288472737557,0.03227905420859926,2
SCM,0.01,True,False,netconsumption_141,current_donor,netconsumption_141,0.10320651635781561,0.10320651635781561,0.02945207121384951,3
SCM,0.01,True,False,netconsumption_291,current_donor,netconsumption_291,0.09714237834024086,0.09714237834024086,0.0277215465236738,4
SCM,0.01,True,False,netconsumption_239,current_donor,netconsumption_239,0.08714666324034967,0.08714666324034967,0.024869066628560543,5
SCM,0.01,True,False,netconsumption_91,current_donor,netconsumption_91,-0.08215199257335515,0.08215199257335515,0.023443736122645175,6
SCM,0.01,True,False,netconsumption_43,current_donor,netconsumption_43,0.08156778257854802,0.08156778257854802,0.02327701995996366,7
SCM,0.01,True,False,netconsumption_67,current_donor,netconsumption_67,0.07999029740506021,0.07999029740506021,0.022826852593522594,8
SCM,0.01,True,False,netconsumption_204,current_donor,netconsumption_204,0.07246557462872752,0.07246557462872752,0.0206795204395656,9
SCM,0.01,True,False,netconsumption_47,current_donor,netconsumption_47,-0.07101070692135439,0.07101070692135439,0.02026434445226915,10
SCM,0.01,True,False,netconsumption_132,current_donor,netconsumption_132,-0.07066953217210067,0.07066953217210067,0.02016698332270103,11
SCM,0.01,True,False,netconsumption_83,current_donor,netconsumption_83,0.07020285452326645,0.07020285452326645,0.02003380739706737,12
SCM,0.01,True,False,netconsumption_258,current_donor,netconsumption_258,0.07014086454416009,0.07014086454416009,0.0200161173001276,13
SCM,0.01,True,False,netconsumption_178,current_donor,netconsumption_178,-0.0662225840351538,0.0662225840351538,0.018897956541876672,14
SCM,0.01,True,False,netconsumption_42,current_donor,netconsumption_42,0.06251164845608448,0.06251164845608448,0.01783896586181308,15
