model,lambda,sum_to_one_constraint,positive_weights_constraint,feature_name,feature_type,donor_name,weight,abs_weight,abs_weight_share,abs_weight_rank
SCM,0.01,True,False,netconsumption_157,current_donor,netconsumption_157,0.11717489796208369,0.11717489796208369,0.026584399473374577,1
SCM,0.01,True,False,netconsumption_75,current_donor,netconsumption_75,0.09495046817510477,0.09495046817510477,0.021542166624866396,2
SCM,0.01,True,False,netconsumption_282,current_donor,netconsumption_282,0.07716398306316563,0.07716398306316563,0.017506805522217724,3
SCM,0.01,True,False,netconsumption_81,current_donor,netconsumption_81,0.053214326369495524,0.053214326369495524,0.012073156747027585,4
SCM,0.01,True,False,netconsumption_170,current_donor,netconsumption_170,-0.04755458908653232,0.04755458908653232,0.010789087211133194,5
SCM,0.01,True,False,netconsumption_141,current_donor,netconsumption_141,0.04447000124834588,0.04447000124834588,0.010089262276550397,6
SCM,0.01,True,False,netconsumption_239,current_donor,netconsumption_239,0.04361892528606326,0.04361892528606326,0.009896171915414951,7
SCM,0.01,True,False,netconsumption_204,current_donor,netconsumption_204,0.03972808729693611,0.03972808729693611,0.009013426607434328,8
SCM,0.01,True,False,netconsumption_76,current_donor,netconsumption_76,-0.0394275837566509,0.0394275837566509,0.008945248983241385,9
SCM,0.01,True,False,netconsumption_95,current_donor,netconsumption_95,0.039345646317714866,0.039345646317714866,0.008926659185883886,10
SCM,0.01,True,False,netconsumption_115,current_donor,netconsumption_115,0.03848466376004378,0.03848466376004378,0.008731321236793951,11
SCM,0.01,True,False,netconsumption_67,current_donor,netconsumption_67,0.038157320092988556,0.038157320092988556,0.008657054179929166,12
SCM,0.01,True,False,netconsumption_193,current_donor,netconsumption_193,0.03791207464480806,0.03791207464480806,0.00860141339784317,13
SCM,0.01,True,False,netconsumption_15,current_donor,netconsumption_15,-0.03501697961930894,0.03501697961930894,0.00794458020225419,14
SCM,0.01,True,False,netconsumption_230,current_donor,netconsumption_230,-0.03285066464972425,0.03285066464972425,0.007453091124489205,15
SCM,0.01,True,False,netconsumption_43,current_donor,netconsumption_43,0.032810887618828666,0.032810887618828666,0.007444066593658931,16
SCM,0.01,True,False,netconsumption_83,current_donor,netconsumption_83,0.032568030010033056,0.032568030010033056,0.007388967559653711,17
SCM,0.01,True,False,netconsumption_36,current_donor,netconsumption_36,0.03245602122821811,0.03245602122821811,0.007363555237969778,18
SCM,0.01,True,False,netconsumption_197,current_donor,netconsumption_197,0.03177700007547912,0.03177700007547912,0.0072095003175965955,19
SCM,0.01,True,False,netconsumption_234,current_donor,netconsumption_234,-0.03162229151506371,0.03162229151506371,0.007174400358103865,20
SCM,0.01,True,False,netconsumption_39,current_donor,netconsumption_39,0.03074982403576043,0.03074982403576043,0.006976456733652561,21
SCM,0.01,True,False,netconsumption_243,current_donor,netconsumption_243,0.029233055160044596,0.029233055160044596,0.006632335335621911,22
SCM,0.01,True,False,netconsumption_205,current_donor,netconsumption_205,0.029192456346401663,0.029192456346401663,0.006623124360414763,23
SCM,0.01,True,False,netconsumption_82,current_donor,netconsumption_82,0.02877740998308198,0.02877740998308198,0.006528959496486039,24
SCM,0.01,True,False,netconsumption_42,current_donor,netconsumption_42,0.028156880870326972,0.028156880870326972,0.0063881751296528295,25
SCM,0.01,True,False,netconsumption_48,current_donor,netconsumption_48,0.02749087784524118,0.02749087784524118,0.006237073735264709,26
SCM,0.01,True,False,netconsumption_68,current_donor,netconsumption_68,0.02744068256856913,0.02744068256856913,0.006225685534293899,27
SCM,0.01,True,False,netconsumption_148,current_donor,netconsumption_148,-0.02680840177853483,0.02680840177853483,0.0060822349711276156,28
SCM,0.01,True,False,netconsumption_235,current_donor,netconsumption_235,0.02625349150843892,0.02625349150843892,0.005956338072144342,29
SCM,0.01,True,False,netconsumption_259,current_donor,netconsumption_259,-0.025842426060783907,0.025842426060783907,0.0058630763901610684,30
SCM,0.01,True,False,netconsumption_244,current_donor,netconsumption_244,0.025818416866316696,0.025818416866316696,0.005857629233578463,31
SCM,0.01,True,False,netconsumption_109,current_donor,netconsumption_109,0.02568576418205737,0.02568576418205737,0.005827533265833677,32
SCM,0.01,True,False,netconsumption_126,current_donor,netconsumption_126,0.024945008828443527,0.024945008828443527,0.005659472217136341,33
SCM,0.01,True,False,netconsumption_113,current_donor,netconsumption_113,0.0248823700269849,0.0248823700269849,0.005645260854895186,34
SCM,0.01,True,False,netconsumption_16,current_donor,netconsumption_16,0.024744638755169746,0.024744638755169746,0.00561401266766745,35
SCM,0.01,True,False,netconsumption_281,current_donor,netconsumption_281,-0.024713526048222967,0.024713526048222967,0.0056069538808064725,36
SCM,0.01,True,False,netconsumption_163,current_donor,netconsumption_163,-0.024536257741549328,0.024536257741549328,0.005566735612554977,37
SCM,0.01,True,False,netconsumption_137,current_donor,netconsumption_137,-0.0240365132102216,0.0240365132102216,0.005453354602743902,38
SCM,0.01,True,False,netconsumption_233,current_donor,netconsumption_233,-0.02400793434600601,0.02400793434600601,0.0054468706889021475,39
SCM,0.01,True,False,netconsumption_53,current_donor,netconsumption_53,0.023664018041570145,0.023664018041570145,0.005368843666207507,40
SCM,0.01,True,False,netconsumption_74,current_donor,netconsumption_74,0.02358604357531391,0.02358604357531391,0.0053511529799280125,41
SCM,0.01,True,False,netconsumption_178,current_donor,netconsumption_178,-0.023514544647891267,0.023514544647891267,0.0053349314505596965,42
SCM,0.01,True,False,netconsumption_7,current_donor,netconsumption_7,0.022339349057025615,0.022339349057025615,0.005068305495766628,43
SCM,0.01,True,False,netconsumption_155,current_donor,netconsumption_155,0.022134462514848546,0.022134462514848546,0.00502182125913673,44
SCM,0.01,True,False,netconsumption_151,current_donor,netconsumption_151,-0.022030669543361192,0.022030669543361192,0.004998272923575633,45
SCM,0.01,True,False,netconsumption_261,current_donor,netconsumption_261,-0.02192038616106906,0.02192038616106906,0.0049732520569811724,46
SCM,0.01,True,False,netconsumption_186,current_donor,netconsumption_186,0.02170558128789679,0.02170558128789679,0.004924517569846505,47
SCM,0.01,True,False,netconsumption_237,current_donor,netconsumption_237,-0.021489787039099095,0.021489787039099095,0.00487555861520802,48
SCM,0.01,True,False,netconsumption_64,current_donor,netconsumption_64,0.02121304175237615,0.02121304175237615,0.004812771214642098,49
SCM,0.01,True,False,netconsumption_183,current_donor,netconsumption_183,0.021174633746658955,0.021174633746658955,0.004804057285424153,50
SCM,0.01,True,False,netconsumption_285,current_donor,netconsumption_285,-0.021076432146176494,0.021076432146176494,0.004781777508598614,51
SCM,0.01,True,False,netconsumption_28,current_donor,netconsumption_28,-0.02098050358136838,0.02098050358136838,0.004760013433424496,52
SCM,0.01,True,False,netconsumption_125,current_donor,netconsumption_125,0.020980089273873403,0.020980089273873403,0.004759919436193495,53
SCM,0.01,True,False,netconsumption_174,current_donor,netconsumption_174,0.02073131305339926,0.02073131305339926,0.004703477599762786,54
SCM,0.01,True,False,netconsumption_79,current_donor,netconsumption_79,-0.020650941404443124,0.020650941404443124,0.0046852430456104524,55
SCM,0.01,True,False,netconsumption_41,current_donor,netconsumption_41,-0.02051652125461123,0.02051652125461123,0.004654746078917482,56
