dataset,kind,model,selection_mode,treated_unit,n_used_current_controls,n_features,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,training_scaled_mse,training_scaled_mae,validation_scaled_mse,validation_scaled_mae,test_scaled_mse,test_scaled_mae,test_train_scaled_mse_ratio,pre_scaled_mse,pre_scaled_mae,pre_scaled_mean_gap,pre_gap_trend_scaled_total,post_scaled_mse,post_scaled_mae,post_mean_gap,post_scaled_mean_gap,post_cumulative_gap,post_scaled_cumulative_gap,post_same_sign_gap_share,post_scaled_mse_to_mae_ratio,selection_fit_seconds,selection_total_inference_seconds,selection_total_seconds,test_lag_construction_seconds,test_design_seconds,test_refit_seconds,test_inference_seconds,test_post_inference_seconds_unused,test_stage_total_seconds,pre_lag_construction_seconds,pre_design_seconds,pre_refit_seconds,pre_inference_seconds,post_inference_seconds,pre_post_stage_total_seconds,selected_model_total_seconds,placebo_n,placebo_p_value_abs_scaled_mean_effect,placebo_p_value_post_to_pre_scaled_mse_ratio,jackknife_n,jackknife_cv_abs_scaled_mean_effect,effective_donor_number_without_lags,effective_donor_share_without_lags,effective_donor_number_with_lags,effective_donor_share_with_lags,negative_weight_share_without_lags,negative_weight_share_with_lags,effective_feature_number_all_features,post_to_pre_scaled_mse_ratio,post_to_pre_scaled_mae_ratio,experiment_id,feature_mode,control_group_size,control_group_size_label,repetition,base_random_state,run_random_state,enable_linear_scm,enable_nn_scm,linear_lambda_grid,sum_to_one_grid,positive_weights_constraint_grid,standardize_linear_features,nn_lambda_grid,nn_hidden_units,nn_learning_rate,nn_epochs,nn_batch_size,nn_early_stopping_patience,standardize_nn_features,use_lagged_treated,lagged_treated_steps,use_topk_donor_lags,donor_lag_past_steps,donor_lag_top_k,pre_validation_fraction,pre_test_fraction,use_cross_validation_if_small,min_validation_rows,min_test_rows,cv_folds,enable_placebo_tests,max_placebos,enable_jackknife_tests,max_jackknife_donors,run_save_dir
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,100,100,0.05,,,355.0,0.029687,0.138954,0.023758,0.124368,0.034064,0.141614,1.147451,0.027218,0.131075,-0.049972,0.03146,0.026093,0.129859,-0.152816,-0.056824,-2411.891809,-896.850026,0.701514,0.200935,,,,0.000253,0.272698,104.442408,0.290272,0.0,105.005674,0.000453,0.451778,116.577553,1.840323,0.87832,119.748434,224.754108,,,,,,,,,,,,,0.958664,0.990719,features=standard_donors__controls=100__rep=0,standard_donors,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=standard_donors__controls=100__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,2,2,0.05,,,884.0,0.127436,0.267341,0.094693,0.236973,0.14574,0.296928,1.143629,0.188831,0.337662,-0.240508,0.069342,0.133091,0.2923,-0.547325,-0.20352,-8638.426572,-3212.156143,0.75727,0.455323,,,,0.000189,0.012709,211.549897,0.265195,0.0,211.828046,0.000396,0.01871,236.45286,1.705525,0.756227,238.933732,450.761778,,,,,,,,,,,,,0.704817,0.865659,features=standard_donors__controls=2__rep=0,standard_donors,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=standard_donors__controls=2__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,50,50,0.05,,,199.0,0.033646,0.138043,0.030268,0.135334,0.044249,0.162885,1.315158,0.032104,0.13486,-0.021481,-0.042362,0.031247,0.136288,-0.12842,-0.047752,-2026.855322,-753.676115,0.671545,0.229269,,,,0.000212,0.139179,54.331055,0.29761,0.0,54.768102,0.000401,0.220882,59.60922,1.826045,0.840292,62.496848,117.26495,,,,,,,,,,,,,0.973304,1.01059,features=standard_donors__controls=50__rep=0,standard_donors,50.0,50,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=standard_donors__controls=50__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,299,299,0.05,,,55.0,0.024178,0.119283,0.019723,0.108239,0.032259,0.136433,1.334245,0.023635,0.120148,-0.031034,0.005185,0.022373,0.118437,-0.102574,-0.038142,-1618.926669,-601.989865,0.671482,0.188901,,,,0.000397,0.817022,21.02767,0.313016,0.0,22.158152,0.000583,1.374914,23.167901,2.129895,1.167206,27.840508,49.99866,,,,,,,,,,,,,0.946599,0.985758,features=standard_donors__controls=all__rep=0,standard_donors,,all,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=standard_donors__controls=all__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,100,536,0.05,,,132.0,0.02581,0.127263,0.020769,0.112943,0.034604,0.145102,1.340738,0.026382,0.127282,-0.01833,0.010254,0.027921,0.131276,-0.027934,-0.01039,-440.875531,-163.993013,0.549642,0.212689,,,,0.001265,6.839162,56.557039,0.340117,0.0,63.73763,0.001412,8.433276,63.845719,2.39255,1302.82456,1377.497527,1441.235157,,,,,,,,,,,,,1.058339,1.031381,features=treated_and_donor_lags__controls=100__rep=0,treated_and_donor_lags,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=treated_and_donor_lags__controls=100__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,2,340,0.05,,,335.0,0.080797,0.20234,0.065194,0.183082,0.089266,0.214077,1.104817,0.122902,0.263174,-0.192991,0.071683,0.23074,0.374472,-0.880696,-0.327594,-13900.029551,-5170.411072,0.85326,0.616174,,,,0.000411,1.17341,127.08165,0.319634,0.0,128.575152,0.000558,1.833387,140.791456,2.178857,1157.860968,1302.665237,1431.240389,,,,,,,,,,,,,1.877431,1.422906,features=treated_and_donor_lags__controls=2__rep=0,treated_and_donor_lags,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=treated_and_donor_lags__controls=2__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,50,436,0.05,,,103.0,0.031635,0.134713,0.024815,0.119164,0.038011,0.151872,1.20156,0.03336,0.14094,-0.029111,0.002199,0.035971,0.148446,-0.097455,-0.03625,-1538.133364,-572.141357,0.594754,0.242321,,,,0.0008,3.993087,41.400603,0.317432,0.0,45.711965,0.000984,5.063057,45.927088,2.227113,1219.550196,1272.768447,1318.480411,,,,,,,,,,,,,1.078266,1.053252,features=treated_and_donor_lags__controls=50__rep=0,treated_and_donor_lags,50.0,50,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=treated_and_donor_lags__controls=50__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,299,934,0.05,,,515.0,0.024205,0.121019,0.02083,0.112703,0.032258,0.134212,1.3327,0.025754,0.12488,-0.042138,0.008659,0.025989,0.126086,-0.10788,-0.040128,-1702.663522,-633.341842,0.645188,0.206121,,,,0.002607,18.990091,288.688193,0.360003,0.0,308.040939,0.002801,22.985526,319.792817,2.969316,1564.480689,1910.23116,2218.2721,,,,,,,,,,,,,1.009146,1.009658,features=treated_and_donor_lags__controls=all__rep=0,treated_and_donor_lags,,all,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=treated_and_donor_lags__controls=all__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,100,436,0.05,,,235.0,0.027202,0.131072,0.022038,0.116638,0.034346,0.144388,1.262635,0.027337,0.129195,-0.028573,0.009695,0.029297,0.13426,-0.074614,-0.027754,-1177.632457,-438.045392,0.584933,0.218214,,,,0.000484,1.352335,96.446558,0.31875,0.0,98.118172,0.000575,2.231074,106.516092,2.243845,1219.79009,1330.781686,1428.899858,,,,,,,,,,,,,1.071713,1.039205,features=treated_lags__controls=100__rep=0,treated_lags,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=treated_lags__controls=100__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,2,338,0.05,,,483.0,0.081205,0.202962,0.064331,0.181483,0.097889,0.22611,1.205453,0.131897,0.274028,-0.21319,0.089137,0.243459,0.381934,-0.914486,-0.340163,-14433.333408,-5368.784764,0.864411,0.637439,,,,0.000309,1.016592,181.153007,0.307501,0.0,182.477455,0.000505,1.689417,201.907068,2.108806,1131.238294,1336.944102,1519.421557,,,,,,,,,,,,,1.845835,1.393777,features=treated_lags__controls=2__rep=0,treated_lags,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_RaspberryPi/features=treated_lags__controls=2__rep=0
